tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length
XLOC_000032	-	-	XLOC_000032	PRKCZ	TSS38,TSS39,TSS40,TSS41	chr1:2050469-2212720	-
XLOC_000033	-	-	XLOC_000033	SKI	TSS42	chr1:2228694-2310213	-
XLOC_000034	-	-	XLOC_000034	RER1	TSS43	chr1:2391774-2412571	-
XLOC_000035	-	-	XLOC_000035	PLCH2	TSS44,TSS45	chr1:2467458-2505530	-
XLOC_000036	-	-	XLOC_000036	TNFRSF14	TSS46	chr1:2549919-2565622	-
XLOC_000037	-	-	XLOC_000037	LOC100996583	TSS47	chr1:2566534-2584534	-
XLOC_000038	-	-	XLOC_000038	FAM213B	TSS48,TSS49	chr1:2586459-2633042	-
XLOC_000039	-	-	XLOC_000039	ACTRT2	TSS50	chr1:3021481-3022903	-
XLOC_000040	-	-	XLOC_000040	PRDM16	TSS51	chr1:3069177-3438621	-
XLOC_000041	-	-	XLOC_000041	MIR4251	TSS52	chr1:3069177-3438621	-
XLOC_000042	-	-	XLOC_000042	ARHGEF16	TSS53	chr1:3454582-3481113	-
XLOC_000043	-	-	XLOC_000043	TPRG1L	TSS54	chr1:3624991-3630130	-
XLOC_000044	-	-	XLOC_000044	TP73	TSS55,TSS56,TSS57	chr1:3652564-3747373	-
XLOC_000045	-	-	XLOC_000045	CCDC27	TSS58	chr1:3752400-3771645	-
XLOC_000046	-	-	XLOC_000046	SMIM1	TSS59	chr1:3772760-3775982	-
XLOC_000047	-	-	XLOC_000047	DFFB	TSS60	chr1:3857266-3885429	-
XLOC_000048	-	-	XLOC_000048	LINC01134	TSS61	chr1:3900403-3915447	-
XLOC_000049	-	-	XLOC_000049	LINC01346	TSS62	chr1:3940611-3952583	-
XLOC_000050	-	-	XLOC_000050	LOC284661	TSS63	chr1:4412050-4424684	-
XLOC_000051	-	-	XLOC_000051	AJAP1	TSS64	chr1:4655044-4783791	-
XLOC_000052	-	-	XLOC_000052	MIR4417	TSS65	chr1:5564070-5564143	-
XLOC_000053	-	-	XLOC_000053	KCNAB2	TSS66,TSS67,TSS68,TSS69,TSS70	chr1:5862807-6101193	-
XLOC_000054	-	-	XLOC_000054	RNF207	TSS71	chr1:6206128-6235984	-
XLOC_000055	-	-	XLOC_000055	LINC00337	TSS72	chr1:6236239-6239442	-
XLOC_000056	-	-	XLOC_000056	HES3	TSS73	chr1:6244191-6245578	-
XLOC_000057	-	-	XLOC_000057	ESPN	TSS74	chr1:6424787-6460944	-
XLOC_000058	-	-	XLOC_000058	TAS1R1	TSS75	chr1:6555277-6579757	-
XLOC_000059	-	-	XLOC_000059	ZBTB48	TSS76	chr1:6579990-6589280	-
XLOC_000060	-	-	XLOC_000060	PHF13	TSS77	chr1:6613695-6624033	-
XLOC_000061	-	-	XLOC_000061	THAP3	TSS78,TSS79	chr1:6624864-6701906	-
XLOC_000062	-	-	XLOC_000062	LOC100505887	TSS80,TSS81	chr1:6724744-6730012	-
XLOC_000063	-	-	XLOC_000063	CAMTA1	TSS82	chr1:6785323-7769706	-
XLOC_000064	-	-	XLOC_000064	VAMP3	TSS83	chr1:7771268-7781432	-
XLOC_000065	-	-	XLOC_000065	PER3	TSS84	chr1:7784428-7845180	-
XLOC_000066	-	-	XLOC_000066	PARK7	TSS85	chr1:7961653-7985282	-
XLOC_000067	-	-	XLOC_000067	LOC102724539	TSS86	chr1:8208671-8215208	-
XLOC_000068	-	-	XLOC_000068	SLC45A1	TSS87	chr1:8318084-8344167	-
XLOC_000069	-	-	XLOC_000069	LOC102724552	TSS88	chr1:8352403-8817640	-
XLOC_000070	-	-	XLOC_000070	ENO1-AS1	TSS89	chr1:8860999-8879884	-
XLOC_000071	-	-	XLOC_000071	CA6	TSS90	chr1:8945833-8975089	-
XLOC_000072	-	-	XLOC_000072	LOC102724571	TSS91	chr1:9148010-9192085	-
XLOC_000073	-	-	XLOC_000073	H6PD	TSS92,TSS93	chr1:9234803-9271335	-
XLOC_000074	-	-	XLOC_000074	SPSB1	TSS94	chr1:9292881-9369531	-
XLOC_000075	-	-	XLOC_000075	SLC25A33	TSS95	chr1:9539468-9582773	-
XLOC_000076	-	-	XLOC_000076	TMEM201	TSS96	chr1:9588873-9614877	-
XLOC_000077	-	-	XLOC_000077	PIK3CD	TSS97	chr1:9651731-9824526	-
XLOC_000078	-	-	XLOC_000078	NMNAT1	TSS98,TSS99	chr1:9922112-9985498	-
XLOC_000079	-	-	XLOC_000079	MIR5697	TSS100	chr1:9922112-9985498	-
XLOC_000080	-	-	XLOC_000080	RBP7	TSS101	chr1:9997196-10016020	-
XLOC_000081	-	-	XLOC_000081	UBE4B	TSS102	chr1:10032982-10181238	-
XLOC_000082	-	-	XLOC_000082	KIF1B	TSS103	chr1:10210705-10381603	-
XLOC_000083	-	-	XLOC_000083	MIR1273D	TSS104	chr1:10210705-10381603	-
XLOC_000084	-	-	XLOC_000084	RNU6-2	TSS105	chr1:10210705-10381603	-
XLOC_000085	-	-	XLOC_000085	PGD	TSS106,TSS107	chr1:10398991-10420511	-
XLOC_000086	-	-	XLOC_000086	APITD1,APITD1-CORT,CORT	TSS108,TSS109,TSS110	chr1:10430101-10452003	-
XLOC_000087	-	-	XLOC_000087	PEX14	TSS111	chr1:10474945-10630761	-
XLOC_000088	-	-	XLOC_000088	TARDBP	TSS112	chr1:11012621-11025492	-
XLOC_000089	-	-	XLOC_000089	MTOR-AS1	TSS113	chr1:11106530-11262551	-
XLOC_000090	-	-	XLOC_000090	ANGPTL7	TSS114	chr1:11106530-11262551	-
XLOC_000091	-	-	XLOC_000091	UBIAD1	TSS115	chr1:11273197-11288434	-
XLOC_000092	-	-	XLOC_000092	PTCHD2	TSS116	chr1:11479237-11537583	-
XLOC_000093	-	-	XLOC_000093	LOC101929181	TSS117	chr1:11609530-11613354	-
XLOC_000094	-	-	XLOC_000094	FBXO44	TSS118,TSS119	chr1:11648360-11663327	-
XLOC_000095	-	-	XLOC_000095	FBXO6	TSS120	chr1:11664092-11674352	-
XLOC_000096	-	-	XLOC_000096	DRAXIN	TSS121	chr1:11691723-11720279	-
XLOC_000097	-	-	XLOC_000097	AGTRAP	TSS122	chr1:11736084-11750771	-
XLOC_000098	-	-	XLOC_000098	C1orf167	TSS123	chr1:11762192-11847783	-
XLOC_000099	-	-	XLOC_000099	CLCN6,NPPA-AS1	TSS124,TSS125	chr1:11762192-11847783	-
XLOC_000100	-	-	XLOC_000100	RNU5E-1	TSS126	chr1:11908153-11908272	-
XLOC_000101	-	-	XLOC_000101	PLOD1	TSS127	chr1:11934666-11975542	-
XLOC_000102	-	-	XLOC_000102	MFN2	TSS128	chr1:11980180-12013515	-
XLOC_000103	-	-	XLOC_000103	MIIP	TSS129	chr1:12019241-12032049	-
XLOC_000104	-	-	XLOC_000104	MIR6729	TSS130	chr1:12019241-12032049	-
XLOC_000105	-	-	XLOC_000105	TNFRSF8	TSS131	chr1:12063376-12144207	-
XLOC_000106	-	-	XLOC_000106	MIR7846,TNFRSF1B	TSS132	chr1:12166942-12209220	-
XLOC_000107	-	-	XLOC_000107	MIR4632	TSS133	chr1:12166942-12209220	-
XLOC_000108	-	-	XLOC_000108	VPS13D	TSS134	chr1:12230038-12512046	-
XLOC_000109	-	-	XLOC_000109	SNORA59A	TSS135	chr1:12230038-12512046	-
XLOC_000110	-	-	XLOC_000110	AADACL4	TSS136	chr1:12644546-12667086	-
XLOC_000111	-	-	XLOC_000111	AADACL3	TSS137	chr1:12716114-12728759	-
XLOC_000112	-	-	XLOC_000112	C1orf158	TSS138	chr1:12746185-12761169	-
XLOC_000113	-	-	XLOC_000113	PRAMEF12	TSS139	chr1:12774847-12777905	-
XLOC_000114	-	-	XLOC_000114	PRAMEF1	TSS140,TSS141	chr1:12791396-12796628	-
XLOC_000115	-	-	XLOC_000115	PRAMEF2	TSS142	chr1:12857085-12861909	-
XLOC_000116	-	-	XLOC_000116	PRAMEF7	TSS143	chr1:12916646-12920480	-
XLOC_000117	-	-	XLOC_000117	HNRNPCL3	TSS144	chr1:13061231-13062237	-
XLOC_000118	-	-	XLOC_000118	PRAMEF25	TSS145	chr1:13073677-13078038	-
XLOC_000119	-	-	XLOC_000119	PRAMEF34P	TSS146	chr1:13127068-13132274	-
XLOC_000120	-	-	XLOC_000120	PRAMEF27	TSS147	chr1:13175280-13179132	-
XLOC_000121	-	-	XLOC_000121	PRAMEF5	TSS148	chr1:13254197-13263435	-
XLOC_000122	-	-	XLOC_000122	PRAMEF33P	TSS149	chr1:13303538-13308907	-
XLOC_000123	-	-	XLOC_000123	PRAMEF15	TSS150	chr1:13315580-13322595	-
XLOC_000124	-	-	XLOC_000124	PRAMEF16	TSS151	chr1:13389627-13392631	-
XLOC_000125	-	-	XLOC_000125	PRAMEF20	TSS152	chr1:13410449-13421328	-
XLOC_000126	-	-	XLOC_000126	PDPN	TSS153,TSS154	chr1:13583756-13617957	-
XLOC_000127	-	-	XLOC_000127	PRDM2	TSS155,TSS156,TSS157	chr1:13700239-13825079	-
XLOC_000128	-	-	XLOC_000128	KAZN	TSS158,TSS159,TSS160,TSS161	chr1:14598716-15152464	-
XLOC_000129	-	-	XLOC_000129	TMEM51	TSS162,TSS163	chr1:15152531-15220478	-
XLOC_000130	-	-	XLOC_000130	FHAD1	TSS164	chr1:15247271-15398126	-
XLOC_000131	-	-	XLOC_000131	EFHD2	TSS165	chr1:15409894-15430343	-
XLOC_000132	-	-	XLOC_000132	CTRC	TSS166	chr1:15438441-15446658	-
XLOC_000133	-	-	XLOC_000133	CELA2A	TSS167	chr1:15456727-15472091	-
XLOC_000134	-	-	XLOC_000134	CELA2B	TSS168	chr1:15476100-15491400	-
XLOC_000135	-	-	XLOC_000135	DNAJC16	TSS169	chr1:15526812-15585110	-
XLOC_000136	-	-	XLOC_000136	DDI2,RSC1A1	TSS170,TSS171	chr1:15617457-15662030	-
XLOC_000137	-	-	XLOC_000137	PLEKHM2	TSS172	chr1:15684331-15734769	-
XLOC_000138	-	-	XLOC_000138	SLC25A34	TSS173	chr1:15736313-15741392	-
XLOC_000139	-	-	XLOC_000139	TMEM82	TSS174	chr1:15742491-15747797	-
XLOC_000140	-	-	XLOC_000140	FBLIM1	TSS175,TSS176,TSS177	chr1:15758759-15786589	-
XLOC_000141	-	-	XLOC_000141	SPEN	TSS178	chr1:15834214-15940455	-
XLOC_000142	-	-	XLOC_000142	MIR5096	TSS179	chr1:15834214-15940455	-
XLOC_000143	-	-	XLOC_000143	C1orf64	TSS180	chr1:16004235-16006695	-
XLOC_000144	-	-	XLOC_000144	CLCNKA	TSS181	chr1:16021990-16034050	-
XLOC_000145	-	-	XLOC_000145	CLCNKB	TSS182,TSS183	chr1:16043735-16057326	-
XLOC_000146	-	-	XLOC_000146	SZRD1	TSS184	chr1:16367029-16398148	-
XLOC_000147	-	-	XLOC_000147	NECAP2	TSS185	chr1:16440671-16460089	-
XLOC_000148	-	-	XLOC_000148	FAM231B	TSS186	chr1:16538723-16540035	-
XLOC_000149	-	-	XLOC_000149	MIR3675	TSS187	chr1:16548913-16548987	-
XLOC_000150	-	-	XLOC_000150	MST1P2	TSS188	chr1:16645573-16650420	-
XLOC_000151	-	-	XLOC_000151	FAM231C	TSS189	chr1:16673002-16673657	-
XLOC_000152	-	-	XLOC_000152	MIR3675	TSS190	chr1:16681254-16681328	-
XLOC_000153	-	-	XLOC_000153	RNU1-4	TSS191	chr1:16740515-16740679	-
XLOC_000154	-	-	XLOC_000154	RNU1-4	TSS192	chr1:16895979-16896143	-
XLOC_000155	-	-	XLOC_000155	CROCC	TSS193	chr1:16921949-16972979	-
XLOC_000156	-	-	XLOC_000156	PADI1	TSS194	chr1:17205125-17246006	-
XLOC_000157	-	-	XLOC_000157	PADI3	TSS195	chr1:17249097-17284232	-
XLOC_000158	-	-	XLOC_000158	MIR3972	TSS196	chr1:17249097-17284232	-
XLOC_000159	-	-	XLOC_000159	PADI4	TSS197	chr1:17308194-17364000	-
XLOC_000160	-	-	XLOC_000160	PADI6	TSS198	chr1:17372195-17401699	-
XLOC_000161	-	-	XLOC_000161	ARHGEF10L	TSS199,TSS200	chr1:17539834-17697875	-
XLOC_000162	-	-	XLOC_000162	ACTL8	TSS201	chr1:17755312-17827063	-
XLOC_000163	-	-	XLOC_000163	LOC101927876	TSS202	chr1:18065656-18074411	-
XLOC_000164	-	-	XLOC_000164	IGSF21	TSS203	chr1:18107745-18378483	-
XLOC_000165	-	-	XLOC_000165	KLHDC7A	TSS204	chr1:18480929-18485986	-
XLOC_000166	-	-	XLOC_000166	PAX7	TSS205	chr1:18631005-18748866	-
XLOC_000167	-	-	XLOC_000167	MRTO4	TSS206	chr1:19251580-19260128	-
XLOC_000168	-	-	XLOC_000168	PQLC2	TSS207	chr1:19312245-19332428	-
XLOC_000169	-	-	XLOC_000169	MINOS1,MINOS1-NBL1,NBL1	TSS208,TSS209,TSS210,TSS211,TSS212,TSS213,TSS214,TSS215	chr1:19596976-19658456	-
XLOC_000170	-	-	XLOC_000170	RPS14P3	TSS216	chr1:19596976-19658456	-
XLOC_000171	-	-	XLOC_000171	HTR6	TSS217	chr1:19665286-19680966	-
XLOC_000172	-	-	XLOC_000172	OTUD3	TSS218	chr1:19882394-19912944	-
XLOC_000173	-	-	XLOC_000173	PLA2G5	TSS219	chr1:20070207-20091901	-
XLOC_000174	-	-	XLOC_000174	PLA2G2F	TSS220	chr1:20139329-20150386	-
XLOC_000175	-	-	XLOC_000175	UBXN10	TSS221	chr1:20184242-20196048	-
XLOC_000176	-	-	XLOC_000176	VWA5B1	TSS222	chr1:20290918-20354894	-
XLOC_000177	-	-	XLOC_000177	FAM43B	TSS223	chr1:20552438-20555020	-
XLOC_000178	-	-	XLOC_000178	CDA	TSS224	chr1:20588950-20618907	-
XLOC_000179	-	-	XLOC_000179	MIR6084,PINK1	TSS225,TSS226	chr1:20633454-20661544	-
XLOC_000180	-	-	XLOC_000180	LOC100506801	TSS227	chr1:21217246-21345541	-
XLOC_000181	-	-	XLOC_000181	NBPF3	TSS228	chr1:21440089-21484900	-
XLOC_000182	-	-	XLOC_000182	ALPL	TSS229	chr1:21509364-21578412	-
XLOC_000183	-	-	XLOC_000183	LDLRAD2	TSS230	chr1:21812264-21937297	-
XLOC_000184	-	-	XLOC_000184	CELA3B	TSS231	chr1:21976924-21989354	-
XLOC_000185	-	-	XLOC_000185	CELA3A	TSS232	chr1:22001655-22012542	-
XLOC_000186	-	-	XLOC_000186	LINC00339	TSS233,TSS234	chr1:22023993-22031224	-
XLOC_000187	-	-	XLOC_000187	CDC42	TSS235	chr1:22052626-22092943	-
XLOC_000188	-	-	XLOC_000188	MIR4418	TSS236	chr1:22266238-22266300	-
XLOC_000189	-	-	XLOC_000189	ZBTB40	TSS237	chr1:22451850-22531157	-
XLOC_000190	-	-	XLOC_000190	EPHA8	TSS238	chr1:22563510-22603594	-
XLOC_000191	-	-	XLOC_000191	C1QA	TSS239	chr1:22636624-22639682	-
XLOC_000192	-	-	XLOC_000192	C1QC	TSS240	chr1:22643624-22648110	-
XLOC_000193	-	-	XLOC_000193	C1QB	TSS241	chr1:22653188-22661536	-
XLOC_000194	-	-	XLOC_000194	EPHB2	TSS242	chr1:22710837-22921500	-
XLOC_000195	-	-	XLOC_000195	MIR4684	TSS243	chr1:22710837-22921500	-
XLOC_000196	-	-	XLOC_000196	KDM1A	TSS244	chr1:23019447-23083691	-
XLOC_000197	-	-	XLOC_000197	MIR3115	TSS245	chr1:23019447-23083691	-
XLOC_000198	-	-	XLOC_000198	ZNF436-AS1	TSS246,TSS247	chr1:23359447-23371837	-
XLOC_000199	-	-	XLOC_000199	LOC101928163	TSS248	chr1:23506427-23531220	-
XLOC_000200	-	-	XLOC_000200	MDS2	TSS249	chr1:23627333-23640566	-
XLOC_000201	-	-	XLOC_000201	RPL11	TSS250	chr1:23691778-23696426	-
XLOC_000202	-	-	XLOC_000202	TCEB3	TSS251	chr1:23743365-23778297	-
XLOC_000203	-	-	XLOC_000203	PITHD1	TSS252	chr1:23778385-23788232	-
XLOC_000204	-	-	XLOC_000204	LYPLA2	TSS253	chr1:23791155-23795539	-
XLOC_000205	-	-	XLOC_000205	MIR378F	TSS254	chr1:23929069-23929147	-
XLOC_000206	-	-	XLOC_000206	PNRC2	TSS255	chr1:23959810-23963459	-
XLOC_000207	-	-	XLOC_000207	LOC284632	TSS256	chr1:24200239-24211690	-
XLOC_000208	-	-	XLOC_000208	GRHL3	TSS257,TSS258,TSS259	chr1:24319321-24415097	-
XLOC_000209	-	-	XLOC_000209	NIPAL3	TSS260	chr1:24415754-24472983	-
XLOC_000210	-	-	XLOC_000210	RCAN3	TSS261,TSS262,TSS263,TSS264	chr1:24496332-24537020	-
XLOC_000211	-	-	XLOC_000211	NCMAP	TSS265	chr1:24556075-24609327	-
XLOC_000212	-	-	XLOC_000212	SRRM1	TSS266,TSS267	chr1:24643102-24673281	-
XLOC_000213	-	-	XLOC_000213	CLIC4	TSS268	chr1:24745268-24844324	-
XLOC_000214	-	-	XLOC_000214	MIR4425	TSS269	chr1:25023502-25023586	-
XLOC_000215	-	-	XLOC_000215	RHD	TSS270	chr1:25272485-25330445	-
XLOC_000216	-	-	XLOC_000216	TMEM50A	TSS271	chr1:25338297-25420872	-
XLOC_000217	-	-	XLOC_000217	TMEM57	TSS272	chr1:25430857-25500207	-
XLOC_000218	-	-	XLOC_000218	LDLRAP1	TSS273	chr1:25543584-25568886	-
XLOC_000219	-	-	XLOC_000219	MAN1C1	TSS274	chr1:25617467-25786207	-
XLOC_000220	-	-	XLOC_000220	SEPN1	TSS275	chr1:25800175-25818222	-
XLOC_000221	-	-	XLOC_000221	MTFR1L	TSS276,TSS277,TSS278	chr1:25819905-25859458	-
XLOC_000222	-	-	XLOC_000222	EXTL1	TSS279	chr1:26021779-26036463	-
XLOC_000223	-	-	XLOC_000223	PDIK1L	TSS280,TSS281	chr1:26111164-26125548	-
XLOC_000224	-	-	XLOC_000224	FAM110D	TSS282	chr1:26159019-26162628	-
XLOC_000225	-	-	XLOC_000225	ZNF593	TSS283	chr1:26169896-26170873	-
XLOC_000226	-	-	XLOC_000226	CNKSR1	TSS284	chr1:26177489-26189884	-
XLOC_000227	-	-	XLOC_000227	CATSPER4	TSS285	chr1:26190627-26202542	-
XLOC_000228	-	-	XLOC_000228	LOC101928303	TSS286	chr1:26225319-26229840	-
XLOC_000229	-	-	XLOC_000229	CEP85	TSS287,TSS288	chr1:26234152-26279038	-
XLOC_000230	-	-	XLOC_000230	SH3BGRL3	TSS289	chr1:26279721-26281522	-
XLOC_000231	-	-	XLOC_000231	CD52	TSS290	chr1:26282281-26320523	-
XLOC_000232	-	-	XLOC_000232	LIN28A	TSS291	chr1:26410767-26429728	-
XLOC_000233	-	-	XLOC_000233	DHDDS	TSS292	chr1:26432281-26471304	-
XLOC_000234	-	-	XLOC_000234	HMGN2	TSS293	chr1:26472410-26476642	-
XLOC_000235	-	-	XLOC_000235	RPS6KA1	TSS294,TSS295	chr1:26529757-26575029	-
XLOC_000236	-	-	XLOC_000236	MIR1976	TSS296	chr1:26529757-26575029	-
XLOC_000237	-	-	XLOC_000237	ARID1A	TSS297	chr1:26696030-26782110	-
XLOC_000238	-	-	XLOC_000238	PIGV	TSS298,TSS299	chr1:26787962-26798403	-
XLOC_000239	-	-	XLOC_000239	ZDHHC18	TSS300	chr1:26826709-26855720	-
XLOC_000240	-	-	XLOC_000240	SFN	TSS301	chr1:26863141-26864456	-
XLOC_000241	-	-	XLOC_000241	NUDC	TSS302	chr1:26921721-26946871	-
XLOC_000242	-	-	XLOC_000242	TRNP1	TSS303	chr1:26993703-27000886	-
XLOC_000243	-	-	XLOC_000243	WDTC1	TSS304	chr1:27234515-27308633	-
XLOC_000244	-	-	XLOC_000244	TMEM222	TSS305	chr1:27322144-27336400	-
XLOC_000245	-	-	XLOC_000245	ACTG1P20	TSS306	chr1:27322144-27336400	-
XLOC_000246	-	-	XLOC_000246	SYTL1	TSS307	chr1:27341991-27353932	-
XLOC_000247	-	-	XLOC_000247	GPR3	TSS308	chr1:27392643-27395813	-
XLOC_000248	-	-	XLOC_000248	FAM76A	TSS309	chr1:27725978-27762912	-
XLOC_000249	-	-	XLOC_000249	STX12	TSS310	chr1:27773182-27824452	-
XLOC_000250	-	-	XLOC_000250	PPP1R8	TSS311	chr1:27830740-27851672	-
XLOC_000251	-	-	XLOC_000251	SCARNA1	TSS312	chr1:27830740-27851672	-
XLOC_000252	-	-	XLOC_000252	THEMIS2	TSS313	chr1:27872542-27886685	-
XLOC_000253	-	-	XLOC_000253	SMPDL3B	TSS314	chr1:27934954-27959157	-
XLOC_000254	-	-	XLOC_000254	XKR8	TSS315	chr1:27959461-27968096	-
XLOC_000255	-	-	XLOC_000255	ATPIF1	TSS316	chr1:28236090-28238105	-
XLOC_000256	-	-	XLOC_000256	SESN2	TSS317	chr1:28259451-28282491	-
XLOC_000257	-	-	XLOC_000257	MED18	TSS318	chr1:28329001-28335967	-
XLOC_000258	-	-	XLOC_000258	PHACTR4	TSS319,TSS320	chr1:28369581-28500369	-
XLOC_000259	-	-	XLOC_000259	RCC1,SNHG3	TSS321,TSS322	chr1:28505942-28539196	-
XLOC_000260	-	-	XLOC_000260	SNORA73A	TSS323	chr1:28505942-28539196	-
XLOC_000261	-	-	XLOC_000261	SNORA73B	TSS324	chr1:28505942-28539196	-
XLOC_000262	-	-	XLOC_000262	TRNAU1AP	TSS325	chr1:28553016-28581854	-
XLOC_000263	-	-	XLOC_000263	RAB42	TSS326,TSS327	chr1:28592199-28594576	-
XLOC_000264	-	-	XLOC_000264	RNU11	TSS328	chr1:28648599-28648734	-
XLOC_000265	-	-	XLOC_000265	GMEB1	TSS329	chr1:28668727-28715603	-
XLOC_000266	-	-	XLOC_000266	YTHDF2	TSS330,TSS331	chr1:28736620-28769775	-
XLOC_000267	-	-	XLOC_000267	OPRD1	TSS332	chr1:28812141-28863696	-
XLOC_000268	-	-	XLOC_000268	EPB41	TSS333,TSS334	chr1:28887090-29123909	-
XLOC_000269	-	-	XLOC_000269	PTPRU	TSS335	chr1:29236515-29326813	-
XLOC_000270	-	-	XLOC_000270	MATN1-AS1	TSS336	chr1:30711276-30726746	-
XLOC_000271	-	-	XLOC_000271	ZCCHC17	TSS337	chr1:31296981-31364953	-
XLOC_000272	-	-	XLOC_000272	SERINC2	TSS338,TSS339,TSS340,TSS341	chr1:31409564-31434680	-
XLOC_000273	-	-	XLOC_000273	LINC01225	TSS342	chr1:31500084-31508566	-
XLOC_000274	-	-	XLOC_000274	LINC01226	TSS343	chr1:31518434-31524245	-
XLOC_000275	-	-	XLOC_000275	TINAGL1	TSS344,TSS345	chr1:31576484-31587686	-
XLOC_000276	-	-	XLOC_000276	HCRTR1	TSS346	chr1:31617699-31627318	-
XLOC_000277	-	-	XLOC_000277	KHDRBS1	TSS347	chr1:32013693-32060859	-
XLOC_000278	-	-	XLOC_000278	TMEM39B	TSS348	chr1:32072901-32102866	-
XLOC_000279	-	-	XLOC_000279	MIR5585	TSS349	chr1:32072901-32102866	-
XLOC_000280	-	-	XLOC_000280	KPNA6	TSS350	chr1:32108042-32176567	-
XLOC_000281	-	-	XLOC_000281	TXLNA	TSS351	chr1:32179743-32198285	-
XLOC_000282	-	-	XLOC_000282	CCDC28B	TSS352	chr1:32200385-32205390	-
XLOC_000283	-	-	XLOC_000283	IQCC	TSS353	chr1:32205634-32208687	-
XLOC_000284	-	-	XLOC_000284	DCDC2B	TSS354	chr1:32209093-32231604	-
XLOC_000285	-	-	XLOC_000285	EIF3I	TSS355	chr1:32209093-32231604	-
XLOC_000286	-	-	XLOC_000286	FAM167B	TSS356	chr1:32247216-32248860	-
XLOC_000287	-	-	XLOC_000287	LCK	TSS357,TSS358	chr1:32251238-32286167	-
XLOC_000288	-	-	XLOC_000288	HDAC1	TSS359	chr1:32292106-32333623	-
XLOC_000289	-	-	XLOC_000289	TSSK3	TSS360	chr1:32362260-32364323	-
XLOC_000290	-	-	XLOC_000290	ZBTB8B	TSS361	chr1:32465056-32487858	-
XLOC_000291	-	-	XLOC_000291	ZBTB8A	TSS362	chr1:32539144-32605950	-
XLOC_000292	-	-	XLOC_000292	RBBP4	TSS363,TSS364	chr1:32651147-32702760	-
XLOC_000293	-	-	XLOC_000293	KIAA1522	TSS365,TSS366	chr1:32741910-32774970	-
XLOC_000294	-	-	XLOC_000294	S100PBP	TSS367	chr1:32775238-32858879	-
XLOC_000295	-	-	XLOC_000295	HPCA	TSS368	chr1:32886496-32901352	-
XLOC_000296	-	-	XLOC_000296	AZIN2	TSS369,TSS370	chr1:33081112-33120531	-
XLOC_000297	-	-	XLOC_000297	ZNF362	TSS371	chr1:33256572-33300719	-
XLOC_000298	-	-	XLOC_000298	LOC101929464	TSS372	chr1:33323622-33375593	-
